DEALER_ORDER_ID,DEALER_ORDER_VERSION,DEALER_CODE,EXTERNAL_DEALER_ORDER_NO,SERVICE_CONSULTANT,CREATE_BY,CREATE_DATE,REPAIR_TYPE,REPAIR_SOURCE,ORDER_STATUS,ORDER_TYPE,ORDER_CREATE_DATE,ORDER_LAST_BALANCE_DATE,PREVIOUS_LAST_REPAIR_DATE,VIN,DELIVERER,DELIVERER_MOBILE,ENTER_SHOP_DATE,DISPATCH_DATE,COMPLETION_DATE,ETD,POWER_MILEAGE,TOTAL_MILEAGE,CREATE_CLAIM_FLAG,CLAIM_NO,ACTIVITY_FLAG,ACTIVITY_CODE,TROUBLE_DESC,DELIVER_PROBLEM,CHECK_RESULT,CURRENCY,TOTAL_PAID_IN_AMOUNT
11.0,1,000042,113.0,Davi Lucca Cavalcanti,9999999999,2024-01-06,Warranty,99301002,Opened,22021002,2024-01-06,2024-07-15,1800-01-01 00:00:00,BZH-0N36,Srta. Ana Vitória Montenegro,+55 11 4889-8396,2024-01-06,2024-06-11,2024-07-15,2024-05-17,9232.0,96458.0,N,,N,,Windshield replacement,,,BRL,1942.88
12.0,1,000025,107.0,Marina Pacheco,9999999999,2024-02-01,Warranty,99301002,Opened,22021001,2024-02-01,2024-03-18,1800-01-01 00:00:00,ZJS-1A79,Maria Pimenta,81 0038 1802,2024-02-01,2024-02-18,2024-03-18,2024-02-17,12702.0,3732.0,N,,Y,35ea89b3-dc07-48eb-b475-0c52f9f602db,Suspension problems,,,BRL,2376.04
13.0,1,000040,21.0,Dom Fogaça,9999999999,2024-04-15,Non-Warranty,99301002,Opened,22021007,2024-04-15,2024-05-13,1800-01-01 00:00:00,ZAA-9U14,Sra. Maya Oliveira,(081) 5251-9833,2024-04-15,2024-05-11,2024-05-13,2024-04-24,8195.0,74995.0,Y,4af05b76-d662-4fea-a34f-2c2fad42d8eb,N,,Suspension problems,,,BRL,684.63
14.0,1,000017,114.0,Bento Correia,9999999999,2024-02-25,Warranty,99301002,Opened,22021002,2024-02-25,2024-03-24,1800-01-01 00:00:00,WFM-4W48,Arthur Gabriel Cassiano,+55 84 3609 7161,2024-02-25,2024-03-23,2024-03-24,2024-02-27,24274.0,54483.0,N,,Y,18821335-1f15-4eb8-bdf3-2ab0f7141590,Electrical system faults,,,BRL,2684.37
15.0,1,000042,58.0,Dom Novaes,9999999999,2024-08-04,Non-Warranty,99301002,Opened,22021007,2024-08-04,2024-08-09,1800-01-01 00:00:00,OXI-0R95,Lívia Correia,11 5867 3759,2024-08-04,2024-08-06,2024-08-09,2024-08-06,12409.0,19118.0,N,,Y,3230a8af-3ce3-42c7-b866-bdcd656ab5b4,Software glitches,,,BRL,1065.19
16.0,1,000047,76.0,Paulo Vieira,9999999999,2024-04-29,Non-Warranty,99301002,Opened,22021007,2024-04-29,2024-05-01,1800-01-01 00:00:00,DXK-4B93,Henry Gabriel Borges,+55 84 8010-2461,2024-04-29,2024-04-30,2024-05-01,2024-04-29,30705.0,6076.0,N,,Y,a0c8c192-8525-4132-ac3c-6326cb8c2c5e,Windshield replacement,,,BRL,256.96
17.0,1,000010,33.0,Isaac Alves,9999999999,2024-04-27,Warranty,99301002,Opened,22021007,2024-04-27,2024-06-02,1800-01-01 00:00:00,OAD-9B51,Maria Fernanda Monteiro,51 6446 3907,2024-04-27,2024-05-03,2024-06-02,2024-05-29,25763.0,35021.0,N,,Y,db5bd443-dd5e-4e5c-a6c1-c1cadcc30078,Cabin filter replacement,,,BRL,1824.17
18.0,1,000043,93.0,Davi Luiz Gomes,9999999999,2024-04-26,Warranty,99301002,Opened,22021001,2024-04-26,2024-08-06,1800-01-01 00:00:00,SBV-7L43,Rael Nogueira,+55 (041) 9822-5507,2024-04-26,2024-07-28,2024-08-06,2024-06-02,4891.0,83331.0,N,,N,,Suspension problems,,,BRL,1527.32
19.0,1,000005,20.0,Otto Ramos,9999999999,2024-03-10,Warranty,99301002,Opened,22021001,2024-03-10,2024-07-01,1800-01-01 00:00:00,PAU-2M39,Ana Sophia Vieira,61 0890 2874,2024-03-10,2024-05-05,2024-07-01,2024-06-24,35908.0,63026.0,Y,040c4d58-954a-4019-a093-e30f1e1eedd9,Y,5880b516-9b9f-46b8-b271-789606499c09,Software glitches,,,BRL,219.89
20.0,1,000048,105.0,Milena Peixoto,9999999999,2024-01-22,Warranty,99301002,Opened,22021002,2024-01-22,2024-03-31,1800-01-01 00:00:00,WQK-8K55,Júlia Pereira,31 7836 0556,2024-01-22,2024-01-31,2024-03-31,2024-03-25,42493.0,92767.0,N,,Y,c500cf83-fcb3-4236-9e99-8467d7d1f82b,Suspension problems,,,BRL,2126.47
21.0,1,000006,111.0,Rafaela Novaes,9999999999,2024-03-17,Warranty,99301002,Opened,22021007,2024-03-17,2024-04-11,1800-01-01 00:00:00,JYR-8L20,João Pedro Silva,(081) 1726 8131,2024-03-17,2024-04-10,2024-04-11,2024-03-25,4662.0,35123.0,Y,35640c72-bae8-42c8-84d1-a82e64486f70,N,,Suspension problems,,,BRL,1849.59
22.0,1,000009,120.0,Luan Vieira,9999999999,2024-07-14,Non-Warranty,99301002,Opened,22021001,2024-07-14,2024-08-08,1800-01-01 00:00:00,VAS-2Y20,Eduardo Cirino,(021) 2399 0925,2024-07-14,2024-07-29,2024-08-08,2024-08-03,33547.0,77455.0,Y,84533b66-c3d0-4f99-ba72-a8e8b0cc68a0,Y,b6b09b75-a478-4cd5-8134-e4572d24fd9b,Inconsistent charging,,,BRL,489.2
23.0,1,000001,27.0,Lavínia Casa Grande,9999999999,2024-08-08,Non-Warranty,99301002,Opened,22021007,2024-08-08,2024-08-09,1800-01-01 00:00:00,VOD-4F25,Lorena da Costa,+55 (061) 7604 3819,2024-08-08,2024-08-08,2024-08-09,2024-08-08,15316.0,23903.0,N,,Y,2b919302-5633-434e-9715-558743568c9a,Suspension problems,,,BRL,817.64
24.0,1,000036,91.0,Bernardo Oliveira,9999999999,2024-02-02,Non-Warranty,99301002,Opened,22021001,2024-02-02,2024-02-20,1800-01-01 00:00:00,MHR-1L19,Luísa Nogueira,(071) 9696 3701,2024-02-02,2024-02-19,2024-02-20,2024-02-03,1946.0,57630.0,N,,Y,584c1484-a8ef-4278-9975-36a8d8b23694,Battery management system failure,,,BRL,152.41
25.0,1,000010,60.0,Danilo Rocha,9999999999,2024-02-16,Warranty,99301002,Opened,22021001,2024-02-16,2024-06-24,1800-01-01 00:00:00,EVG-8H07,Guilherme Costa,(051) 3923-3323,2024-02-16,2024-03-02,2024-06-24,2024-04-01,10346.0,61302.0,N,,Y,8909625a-bc78-49bc-ab65-2a721d8bc252,Software glitches,,,BRL,2837.53
26.0,1,000049,89.0,Sr. Fernando Cavalcante,9999999999,2024-04-29,Non-Warranty,99301002,Opened,22021007,2024-04-29,2024-07-27,1800-01-01 00:00:00,IUT-8J43,Fernando Almeida,+55 (081) 7272 1556,2024-04-29,2024-05-17,2024-07-27,2024-05-07,17544.0,25170.0,N,,N,,Charging port issues,,,BRL,2177.68
27.0,1,000027,77.0,Ana Sophia Martins,9999999999,2024-03-02,Warranty,99301002,Opened,22021002,2024-03-02,2024-06-17,1800-01-01 00:00:00,VJB-5M04,Guilherme Siqueira,+55 21 3267 1196,2024-03-02,2024-04-30,2024-06-17,2024-06-16,17135.0,83244.0,Y,babcea6b-973d-458b-978c-5c69ccfba69e,N,,Tire replacement,,,BRL,1125.45
28.0,1,000016,74.0,Rebeca Siqueira,9999999999,2024-07-29,Non-Warranty,99301002,Opened,22021002,2024-07-29,2024-08-09,1800-01-01 00:00:00,WHP-1B95,Srta. Camila Lopes,+55 11 7262 0838,2024-07-29,2024-07-31,2024-08-09,2024-07-29,40763.0,53707.0,Y,2d58cc88-a9ac-4915-bee9-db39b0343d89,N,,Suspension problems,,,BRL,532.04
29.0,1,000043,110.0,Luiz Gustavo Lopes,9999999999,2024-03-06,Non-Warranty,99301002,Opened,22021001,2024-03-06,2024-05-09,1800-01-01 00:00:00,JFY-9Q96,Joaquim Cavalcanti,+55 (081) 8540-9634,2024-03-06,2024-04-06,2024-05-09,2024-05-02,30740.0,24449.0,Y,0502629d-81eb-4561-bfae-217e9e2d720d,N,,Suspension problems,,,BRL,2392.98
30.0,1,000044,38.0,João Guilherme Sales,9999999999,2024-02-01,Non-Warranty,99301002,Opened,22021001,2024-02-01,2024-07-16,1800-01-01 00:00:00,BAZ-6P63,Maria Eduarda Casa Grande,84 4551 5215,2024-02-01,2024-05-28,2024-07-16,2024-05-12,15080.0,89615.0,Y,1b078fe5-fe3a-4fc5-8b81-f5956109e517,N,,Suspension problems,,,BRL,143.85
31.0,1,000044,117.0,Elisa Cunha,9999999999,2024-03-25,Warranty,99301002,Opened,22021007,2024-03-25,2024-04-22,1800-01-01 00:00:00,PWX-3H62,Marcos Vinicius Montenegro,+55 (081) 9017 2997,2024-03-25,2024-03-25,2024-04-22,2024-04-03,16912.0,61953.0,Y,86610b8d-449c-4ebf-8215-93c8c44ac09a,N,,Suspension problems,,,BRL,2704.79
32.0,1,000043,88.0,Maria Vitória Moraes,9999999999,2024-03-23,Warranty,99301002,Opened,22021007,2024-03-23,2024-05-30,1800-01-01 00:00:00,CXS-1Q65,Stephany da Conceição,+55 (081) 1767 8494,2024-03-23,2024-05-24,2024-05-30,2024-04-09,8365.0,86545.0,N,,Y,262b8ae6-bebe-4bfc-889f-8b86b99e73e5,Suspension problems,,,BRL,313.48
33.0,1,000016,42.0,Luan Nunes,9999999999,2024-03-03,Non-Warranty,99301002,Opened,22021001,2024-03-03,2024-04-29,1800-01-01 00:00:00,ZNF-2B61,Luísa Nascimento,(071) 9582-2072,2024-03-03,2024-03-25,2024-04-29,2024-03-03,45514.0,98038.0,N,,N,,Overheating of battery,,,BRL,911.7
34.0,1,000023,99.0,Ísis Oliveira,9999999999,2024-05-03,Warranty,99301002,Opened,22021001,2024-05-03,2024-06-10,1800-01-01 00:00:00,WTG-3C43,Yago Abreu,+55 71 1769-9589,2024-05-03,2024-06-05,2024-06-10,2024-05-12,1389.0,66405.0,Y,f47fa32e-c3e0-437d-a427-211ac5cf2c4d,Y,4683fbd4-42ea-484c-accc-2372b4703ff7,Battery overheating,,,BRL,803.47
35.0,1,000011,93.0,Sra. Alana Moreira,9999999999,2024-02-11,Non-Warranty,99301002,Opened,22021001,2024-02-11,2024-04-09,1800-01-01 00:00:00,CFH-2H58,Isabel Guerra,(011) 5534-4520,2024-02-11,2024-02-17,2024-04-09,2024-03-20,29628.0,29046.0,Y,1ef0e207-914f-4df6-96d1-578d3c0502c1,N,,Inconsistent charging,,,BRL,655.04
36.0,1,000012,46.0,Luiz Miguel Ramos,9999999999,2024-02-27,Non-Warranty,99301002,Opened,22021001,2024-02-27,2024-05-08,1800-01-01 00:00:00,MVH-7H06,Ana Laura Fernandes,21 0514-0904,2024-02-27,2024-04-10,2024-05-08,2024-04-11,13692.0,7235.0,Y,d15d0716-f824-4ab5-a43d-fa155fdb1c8c,N,,Inconsistent charging,,,BRL,2043.76
37.0,1,000013,45.0,Danilo Lima,9999999999,2024-07-31,Non-Warranty,99301002,Opened,22021001,2024-07-31,2024-08-09,1800-01-01 00:00:00,HER-6Z30,Dra. Juliana Barbosa,0300 244 2016,2024-07-31,2024-08-02,2024-08-09,2024-07-31,13751.0,50219.0,Y,057ed87b-71d7-4c55-85b5-d451cdf3b232,Y,436bd6b0-6171-4776-be66-203207f61f43,Suspension problems,,,BRL,2656.43
38.0,1,000029,24.0,Bella Oliveira,9999999999,2024-03-24,Non-Warranty,99301002,Opened,22021001,2024-03-24,2024-04-05,1800-01-01 00:00:00,DON-3K86,Sr. Pedro Abreu,(011) 8899-0003,2024-03-24,2024-03-27,2024-04-05,2024-03-31,13951.0,2228.0,N,,Y,fb2d92c2-f138-49c6-9c6d-ae6f4f044779,Suspension problems,,,BRL,1672.0
39.0,1,000019,114.0,Isabelly da Rosa,9999999999,2024-03-27,Non-Warranty,99301002,Opened,22021001,2024-03-27,2024-06-17,1800-01-01 00:00:00,PMS-5V00,João Felipe Pacheco,(011) 6827 6649,2024-03-27,2024-04-21,2024-06-17,2024-03-29,17281.0,94205.0,N,,Y,549cab97-2e43-467a-85dc-12d65ddd1f48,Windshield replacement,,,BRL,1339.72
40.0,1,000035,68.0,Dr. Yan Rodrigues,9999999999,2024-05-10,Non-Warranty,99301002,Opened,22021002,2024-05-10,2024-06-23,1800-01-01 00:00:00,FYW-7Y54,Gabriel Oliveira,0300 726 0072,2024-05-10,2024-05-21,2024-06-23,2024-06-04,15647.0,58964.0,Y,65a1158d-9aa9-411e-bded-c9b278d2e177,Y,c217fb0d-6818-47f3-b00d-eabc21d5e2df,Windshield replacement,,,BRL,2944.37
41.0,1,000027,57.0,Maria Cecília da Cunha,9999999999,2024-01-26,Warranty,99301002,Opened,22021001,2024-01-26,2024-02-02,1800-01-01 00:00:00,FNK-1H70,Aylla Pires,31 0561 9216,2024-01-26,2024-02-01,2024-02-02,2024-01-31,7292.0,55807.0,N,,N,,Software glitches,,,BRL,618.98
42.0,1,000050,40.0,Ana Vitória Lima,9999999999,2024-05-27,Warranty,99301002,Opened,22021001,2024-05-27,2024-06-13,1800-01-01 00:00:00,SNE-3K68,Gabriela Brito,+55 (071) 5076-6687,2024-05-27,2024-06-06,2024-06-13,2024-05-30,29578.0,42723.0,N,,Y,29f623bb-f8e0-41d5-a5d3-fd8b4402d7c5,Suspension problems,,,BRL,361.94
43.0,1,000046,27.0,Srta. Emanuelly Barbosa,9999999999,2024-08-10,Non-Warranty,99301002,Opened,22021001,2024-08-10,2024-08-13,1800-01-01 00:00:00,FPF-4G62,Benicio Castro,+55 (081) 1145-7281,2024-08-10,2024-08-11,2024-08-13,2024-08-11,13428.0,55304.0,N,,Y,fede268b-601e-4e70-a666-7051673cde97,Suspension problems,,,BRL,1071.7
44.0,1,000023,24.0,Maria Helena Caldeira,9999999999,2024-02-19,Non-Warranty,99301002,Opened,22021001,2024-02-19,2024-06-13,1800-01-01 00:00:00,HPN-0M42,Ágatha Mendes,+55 (051) 1884-7869,2024-02-19,2024-04-17,2024-06-13,2024-03-16,19298.0,70195.0,Y,07e8455e-62c4-489a-bf47-51e266f136ea,N,,Suspension problems,,,BRL,2310.96
45.0,1,000038,52.0,Thomas da Cunha,9999999999,2024-04-20,Warranty,99301002,Opened,22021001,2024-04-20,2024-07-29,1800-01-01 00:00:00,BWO-8Y19,Maria Clara Aparecida,41 9233-6540,2024-04-20,2024-06-06,2024-07-29,2024-06-19,4294.0,32110.0,N,,N,,Suspension problems,,,BRL,1375.44
46.0,1,000008,92.0,Luara Barbosa,9999999999,2024-05-03,Warranty,99301002,Opened,22021001,2024-05-03,2024-06-08,1800-01-01 00:00:00,UJW-1K85,Vitor da Rocha,(061) 7177-0026,2024-05-03,2024-05-11,2024-06-08,2024-05-08,197.0,31347.0,Y,69965ee7-f691-43bf-807d-cd7d65519801,N,,Cooling system issues,,,BRL,2568.36
47.0,1,000032,63.0,Dr. Diego Mendes,9999999999,2024-07-25,Non-Warranty,99301002,Opened,22021001,2024-07-25,2024-07-25,1800-01-01 00:00:00,ZTG-6U94,Paulo Silveira,(081) 0771-0895,2024-07-25,2024-07-25,2024-07-25,2024-07-25,21747.0,60821.0,Y,c814978d-cb1b-473c-a0e0-757c5e0fec66,N,,Battery degradation,,,BRL,1042.66
48.0,1,000040,25.0,Benjamin Vasconcelos,9999999999,2024-06-03,Warranty,99301002,Opened,22021001,2024-06-03,2024-07-13,1800-01-01 00:00:00,KBX-9W87,Milena Casa Grande,+55 51 2615 9305,2024-06-03,2024-06-04,2024-07-13,2024-06-08,32790.0,92239.0,Y,f3b61030-c055-4a20-9de4-a91688181942,Y,0b83685d-5a25-4c72-bac2-4b3581d367fa,Suspension problems,,,BRL,1673.15
49.0,1,000010,46.0,Luiz Otávio Peixoto,9999999999,2024-07-29,Non-Warranty,99301002,Opened,22021002,2024-07-29,2024-08-08,1800-01-01 00:00:00,DXD-5F95,Bruna Lopes,+55 61 8142 8626,2024-07-29,2024-07-31,2024-08-08,2024-08-01,11492.0,15898.0,Y,9af1c0f7-4db8-418c-b028-4df2843a92a7,Y,c7faa6d9-0816-4d65-af13-126b820b592f,Suspension problems,,,BRL,2905.57
50.0,1,000018,41.0,Ian Castro,9999999999,2024-06-06,Warranty,99301002,Opened,22021002,2024-06-06,2024-07-17,1800-01-01 00:00:00,CEH-5P87,Rael da Paz,(041) 0017-4946,2024-06-06,2024-07-05,2024-07-17,2024-06-10,44170.0,47782.0,N,,Y,39739c23-a1c1-4975-bdad-9e7df71ba9fa,Suspension problems,,,BRL,2640.22
51.0,1,000042,20.0,Manuella Peixoto,9999999999,2024-06-04,Non-Warranty,99301002,Opened,22021002,2024-06-04,2024-07-01,1800-01-01 00:00:00,BOO-2U53,Sra. Lunna Rocha,61 5447 8795,2024-06-04,2024-06-24,2024-07-01,2024-06-09,47956.0,92188.0,Y,0491825f-fe75-477b-842d-dfe3dac23eae,Y,3ac0eae6-f0c8-42db-956b-ec494fc5226c,Software glitches,,,BRL,826.58
52.0,1,000042,116.0,Clara Cavalcanti,9999999999,2024-03-25,Non-Warranty,99301002,Opened,22021007,2024-03-25,2024-07-23,1800-01-01 00:00:00,PQK-9N55,Dr. Raul da Rosa,31 0600 8538,2024-03-25,2024-07-02,2024-07-23,2024-04-19,27028.0,51523.0,N,,N,,Suspension problems,,,BRL,1292.29
53.0,1,000027,41.0,Liz Cassiano,9999999999,2024-02-29,Warranty,99301002,Opened,22021001,2024-02-29,2024-05-15,1800-01-01 00:00:00,GET-6G98,Alice Teixeira,+55 51 4764 3220,2024-02-29,2024-04-05,2024-05-15,2024-04-05,20277.0,96715.0,N,,N,,Software glitches,,,BRL,1860.21
54.0,1,000009,106.0,Levi Camargo,9999999999,2024-04-08,Warranty,99301002,Opened,22021001,2024-04-08,2024-04-20,1800-01-01 00:00:00,VBG-3E61,Diogo Jesus,+55 (051) 8327 0255,2024-04-08,2024-04-16,2024-04-20,2024-04-13,21634.0,89941.0,Y,74b3328f-cf75-41b2-a462-aec9b0a1ac36,N,,Electrical system faults,,,BRL,2545.83
55.0,1,000026,57.0,Dra. Alice Novaes,9999999999,2024-05-06,Warranty,99301002,Opened,22021002,2024-05-06,2024-07-09,1800-01-01 00:00:00,HMF-6E00,Maria Luiza da Cunha,(061) 3066-7063,2024-05-06,2024-06-14,2024-07-09,2024-06-15,47377.0,2640.0,N,,N,,Battery degradation,,,BRL,2385.37
56.0,1,000030,52.0,Bruno Vasconcelos,9999999999,2024-07-09,Non-Warranty,99301002,Opened,22021002,2024-07-09,2024-07-19,1800-01-01 00:00:00,XCL-0C18,Leonardo Casa Grande,(071) 3335-9514,2024-07-09,2024-07-18,2024-07-19,2024-07-16,37308.0,66041.0,Y,1fed0053-1f16-4d2c-9cb0-aef77f296803,N,,Suspension problems,,,BRL,1251.05
57.0,1,000009,78.0,Valentim Cirino,9999999999,2024-06-01,Warranty,99301002,Opened,22021007,2024-06-01,2024-06-25,1800-01-01 00:00:00,PNG-7W97,Agatha Casa Grande,21 8941 3042,2024-06-01,2024-06-16,2024-06-25,2024-06-14,20005.0,22551.0,Y,481f3a4c-efdc-4584-9b9f-fd563227ea8e,N,,Inconsistent charging,,,BRL,2432.66
58.0,1,000048,107.0,Dra. Mirella Montenegro,9999999999,2024-01-16,Non-Warranty,99301002,Opened,22021007,2024-01-16,2024-02-17,1800-01-01 00:00:00,ACY-0R32,Amanda Fogaça,+55 (041) 0195-1828,2024-01-16,2024-02-11,2024-02-17,2024-02-01,44758.0,30566.0,Y,e0170029-c618-4045-8a9d-59f9e27f71fd,Y,bdc50359-a45b-4246-930c-e37ce8a7979c,Suspension problems,,,BRL,1862.34
59.0,1,000004,89.0,Olívia Araújo,9999999999,2024-01-12,Non-Warranty,99301002,Opened,22021001,2024-01-12,2024-05-06,1800-01-01 00:00:00,NRL-6X21,Valentim Cunha,11 2811-7209,2024-01-12,2024-02-10,2024-05-06,2024-02-19,16577.0,92545.0,Y,9555b6d5-7954-4a17-b88a-4e7b4fa51a73,Y,27be1b75-4868-462d-92a6-c2cdbce3c4b2,Suspension problems,,,BRL,260.41
60.0,1,000029,31.0,Vinícius Teixeira,9999999999,2024-01-28,Warranty,99301002,Opened,22021002,2024-01-28,2024-06-27,1800-01-01 00:00:00,HYB-6B19,Sabrina Montenegro,(081) 9755 3003,2024-01-28,2024-04-01,2024-06-27,2024-06-24,20495.0,87417.0,N,,N,,Cooling system issues,,,BRL,1527.07
61.0,1,000037,54.0,Maitê Farias,9999999999,2024-03-29,Warranty,99301002,Opened,22021001,2024-03-29,2024-07-13,1800-01-01 00:00:00,EYS-9E53,Marcela Lima,21 5500 0698,2024-03-29,2024-06-11,2024-07-13,2024-07-07,41767.0,97872.0,Y,3dab6e30-29cc-40b9-8ce8-be89ce0c6aca,Y,3421a505-4bad-4842-b0c7-e10e3c4fd2fa,Wiring problems,,,BRL,2913.4
62.0,1,000006,68.0,Renan Martins,9999999999,2024-02-16,Warranty,99301002,Opened,22021007,2024-02-16,2024-06-14,1800-01-01 00:00:00,MIN-6N51,Ana Clara da Luz,+55 71 1969-7588,2024-02-16,2024-05-31,2024-06-14,2024-04-12,36732.0,56560.0,N,,N,,Inconsistent charging,,,BRL,2020.22
63.0,1,000006,38.0,Ravy Sousa,9999999999,2024-08-06,Warranty,99301002,Opened,22021007,2024-08-06,2024-08-09,1800-01-01 00:00:00,ZJP-2F54,Lívia Pinto,(041) 9339 6231,2024-08-06,2024-08-08,2024-08-09,2024-08-08,322.0,9155.0,Y,14795432-14d7-4c50-9f34-d0a0afba4179,Y,c0408a56-b38d-42cd-be08-a22e2ddc1d77,Suspension problems,,,BRL,1526.46
64.0,1,000034,110.0,Carolina Leão,9999999999,2024-04-11,Non-Warranty,99301002,Opened,22021002,2024-04-11,2024-04-19,1800-01-01 00:00:00,CTX-4W49,Rafaela Rios,+55 (081) 1916-1428,2024-04-11,2024-04-13,2024-04-19,2024-04-15,16083.0,27446.0,Y,a2627f4d-1b32-4b5c-91bd-3fdfc4cd7d57,N,,Suspension problems,,,BRL,2609.18
65.0,1,000040,117.0,Gustavo Henrique Novais,9999999999,2024-06-28,Non-Warranty,99301002,Opened,22021002,2024-06-28,2024-07-26,1800-01-01 00:00:00,TMS-1N58,Srta. Maria Júlia Alves,+55 (031) 2106-7685,2024-06-28,2024-07-05,2024-07-26,2024-07-07,6117.0,79899.0,N,,N,,Vehicle control system failures,,,BRL,1686.12
66.0,1,000033,111.0,Luísa Garcia,9999999999,2024-05-31,Non-Warranty,99301002,Opened,22021007,2024-05-31,2024-07-24,1800-01-01 00:00:00,WST-5J02,Antony da Luz,0300 851 9831,2024-05-31,2024-07-15,2024-07-24,2024-07-15,32242.0,30706.0,N,,N,,Suspension problems,,,BRL,1187.93
