REPAIR_LABOUR_ID,DEALER_ORDER_ID,LABOUR_CODE,LABOUR_NAME,LABOUR_HOURS,TECHNICIAN,UNIT_PRICE_OF_LABOUR,DISCOUNT_RATE,OEM_FLAG,PAID_IN_AMOUNT,createBy,createDate
0000000020,000020,WLR017BYD001,Suspension Repair,2.0,Arthur Jesus,1036.0,0.26,N,766.64,9999999999,2024-08-10
0000000021,000021,WLR017BYD001,Suspension Repair,1.0,Clara Duarte,486.0,0.39,N,296.46,9999999999,2024-06-06
0000000022,000022,WLR001BYD005,Battery Replacement,3.0,Laís Freitas,1798.0,0.1,N,1618.2,9999999999,2024-05-15
0000000023,000023,WLR017BYD001,Suspension Repair,6.0,Lorena Sales,1130.0,0.45,N,621.5,9999999999,2024-07-30
0000000024,000024,WLR006BYD004,BMS Calibration,3.0,Josué Rocha,961.0,0.12,Y,845.6800000000001,9999999999,2024-07-11
0000000025,000025,WLR017BYD001,Suspension Repair,4.0,Vitória Campos,710.0,0.15,N,603.5,9999999999,2024-08-04
0000000026,000026,WLR017BYD001,Suspension Repair,2.0,Vitória Leão,1002.0,0.53,N,470.93999999999994,9999999999,2024-08-12
0000000027,000027,WLR006BYD001,BMS Calibration,2.0,Renan Campos,1532.0,0.31,N,1057.08,9999999999,2024-05-15
0000000028,000028,WLR017BYD003,Suspension Repair,2.0,Eduardo da Cunha,1418.0,0.12,N,1247.84,9999999999,2024-05-02
0000000029,000029,WLR004BYD001,Charging Port Repair,4.0,Mateus Marques,1437.0,0.37,N,905.3100000000001,9999999999,2024-05-14
0000000030,000030,WLR017BYD001,Suspension Repair,6.0,João Guilherme da Mota,443.0,0.51,N,217.07,9999999999,2024-06-11
0000000031,000031,WLR008BYD005,Thermal Management Service,3.0,Maria Liz das Neves,1455.0,0.57,N,625.6500000000001,9999999999,2024-05-14
0000000032,000032,WLR010BYD005,Onboard Charger Repair,3.0,Ágatha Silveira,1496.0,0.49,N,762.96,9999999999,2024-08-13
0000000033,000033,WLR004BYD003,Charging Port Repair,3.0,Gabriel Caldeira,1539.0,0.57,Y,661.7700000000001,9999999999,2024-07-29
0000000034,000034,WLR017BYD001,Suspension Repair,3.0,Ana Julia Borges,754.0,0.33,N,505.17999999999995,9999999999,2024-06-17
0000000035,000035,WLR017BYD001,Suspension Repair,1.0,Valentim da Cruz,894.0,0.33,N,598.98,9999999999,2024-05-15
0000000036,000036,WLR001BYD004,Battery Replacement,3.0,Ana Ribeiro,154.0,0.29,N,109.34,9999999999,2024-06-22
0000000037,000037,WLR007BYD005,Power Electronics Repair,1.0,Nicolas Nunes,509.0,0.41,N,300.31,9999999999,2024-08-11
0000000038,000038,WLR017BYD001,Suspension Repair,2.0,Sofia Ramos,1137.0,0.42,N,659.46,9999999999,2024-05-08
0000000039,000039,WLR013BYD002,Heat Pump Repair,1.0,Manuella Melo,280.0,0.26,Y,207.2,9999999999,2024-07-16
0000000040,000040,WLR014BYD003,AC Compressor Service,3.0,José Pedro Leão,1602.0,0.57,N,688.8600000000001,9999999999,2024-07-14
0000000041,000041,WLR008BYD003,Thermal Management Service,5.0,Hellena Jesus,1286.0,0.13,N,1118.82,9999999999,2024-05-19
0000000042,000042,WLR014BYD003,AC Compressor Service,5.0,Gustavo Henrique Araújo,1240.0,0.44,N,694.4,9999999999,2024-08-13
0000000043,000043,WLR017BYD001,Suspension Repair,2.0,Luna Duarte,1237.0,0.17,N,1026.71,9999999999,2024-05-27
0000000044,000044,WLR004BYD001,Charging Port Repair,6.0,Vitória da Paz,1036.0,0.44,Y,580.1600000000001,9999999999,2024-08-13
0000000045,000045,WLR017BYD001,Suspension Repair,2.0,Maria Sophia Alves,197.0,0.42,N,114.26,9999999999,2024-06-27
0000000046,000046,WLR007BYD005,Power Electronics Repair,5.0,Benício da Costa,1316.0,0.15,Y,1118.6,9999999999,2024-05-13
0000000047,000047,WLR007BYD001,Power Electronics Repair,3.0,Bella da Cruz,1732.0,0.26,N,1281.68,9999999999,2024-07-18
0000000048,000048,WLR004BYD001,Charging Port Repair,6.0,Leandro Martins,1393.0,0.32,N,947.24,9999999999,2024-08-07
0000000049,000049,WLR017BYD001,Suspension Repair,3.0,André Vargas,900.0,0.38,Y,558.0,9999999999,2024-08-02
0000000050,000050,WLR017BYD001,Suspension Repair,5.0,Yuri Aragão,1742.0,0.35,Y,1132.3000000000002,9999999999,2024-06-03
0000000051,000051,WLR007BYD001,Power Electronics Repair,1.0,Ana Cecília Novaes,609.0,0.37,N,383.67,9999999999,2024-06-14
0000000052,000052,WLR004BYD001,Charging Port Repair,3.0,Emanuel Lopes,1752.0,0.56,N,770.8799999999999,9999999999,2024-05-03
0000000053,000053,WLR017BYD001,Suspension Repair,2.0,Lara Farias,1213.0,0.5,N,606.5,9999999999,2024-07-14
0000000054,000054,WLR001BYD002,Battery Replacement,2.0,Nathan da Cruz,1431.0,0.34,Y,944.46,9999999999,2024-05-16
0000000055,000055,WLR010BYD001,Onboard Charger Repair,5.0,Enzo Ramos,201.0,0.39,N,122.61,9999999999,2024-04-15
0000000056,000056,WLR004BYD001,Charging Port Repair,1.0,Luana Sá,594.0,0.13,N,516.78,9999999999,2024-06-26
0000000057,000057,WLR007BYD001,Power Electronics Repair,2.0,João Cavalcanti,1889.0,0.16,N,1586.76,9999999999,2024-03-13
0000000058,000058,WLR013BYD001,Heat Pump Repair,6.0,Lucas Gabriel da Cunha,250.0,0.2,N,200.0,9999999999,2024-08-04
0000000059,000059,WLR004BYD001,Charging Port Repair,3.0,Vitor Silveira,646.0,0.38,N,400.52,9999999999,2024-08-07
0000000060,000060,WLR004BYD001,Charging Port Repair,2.0,Isadora das Neves,487.0,0.14,N,418.82,9999999999,2024-04-16
0000000061,000061,WLR008BYD003,Thermal Management Service,6.0,Heitor Fernandes,1788.0,0.44,N,1001.28,9999999999,2024-08-05
0000000062,000062,WLR004BYD003,Charging Port Repair,4.0,Mateus Cardoso,350.0,0.24,Y,266.0,9999999999,2024-06-21
0000000063,000063,WLR019BYD005,Windshield Replacement,3.0,Maria Isis Nascimento,1071.0,0.47,N,567.6300000000001,9999999999,2024-08-08
0000000064,000064,WLR001BYD001,Battery Replacement,1.0,Allana Azevedo,758.0,0.21,N,598.8199999999999,9999999999,2024-04-14
0000000065,000065,WLR007BYD005,Power Electronics Repair,2.0,Davi Dias,563.0,0.21,N,444.77,9999999999,2024-06-09
0000000066,000066,WLR006BYD004,BMS Calibration,3.0,Ravi Alves,575.0,0.21,N,454.25,9999999999,2024-05-15
0000000067,000067,WLR001BYD003,Battery Replacement,1.0,Maria Laura Silveira,327.0,0.28,N,235.44,9999999999,2024-04-25
0000000068,000068,WLR017BYD001,Suspension Repair,3.0,Beatriz Rocha,1106.0,0.41,Y,652.54,9999999999,2024-08-12
0000000069,000069,WLR017BYD001,Suspension Repair,3.0,Marcela da Cruz,1874.0,0.17,N,1555.42,9999999999,2024-05-29
0000000070,000070,WLR017BYD001,Suspension Repair,6.0,Erick da Rocha,1693.0,0.26,N,1252.82,9999999999,2024-05-26
0000000071,000071,WLR003BYD001,Inverter Replacement,2.0,Ana Caldeira,1287.0,0.48,Y,669.24,9999999999,2024-02-25
0000000072,000072,WLR004BYD001,Charging Port Repair,2.0,Sofia Pereira,779.0,0.39,N,475.19,9999999999,2024-03-23
0000000073,000073,WLR017BYD001,Suspension Repair,4.0,Antony Mendonça,1588.0,0.37,N,1000.44,9999999999,2024-07-23
0000000074,000074,WLR001BYD004,Battery Replacement,6.0,Mariah Machado,1477.0,0.26,N,1092.98,9999999999,2024-04-07
0000000075,000075,WLR007BYD002,Power Electronics Repair,4.0,Lucca Porto,817.0,0.38,Y,506.54,9999999999,2024-06-21
0000000076,000076,WLR007BYD003,Power Electronics Repair,4.0,Rhavi Pinto,361.0,0.47,N,191.33,9999999999,2024-07-11
0000000077,000077,WLR001BYD003,Battery Replacement,2.0,Isis Almeida,1286.0,0.25,N,964.5,9999999999,2024-03-12
0000000078,000078,WLR004BYD001,Charging Port Repair,1.0,João Gabriel Ribeiro,1323.0,0.49,N,674.73,9999999999,2024-08-05
0000000079,000079,WLR017BYD001,Suspension Repair,4.0,Thales Marques,1036.0,0.25,Y,777.0,9999999999,2024-08-06
0000000080,000080,WLR004BYD001,Charging Port Repair,4.0,Emilly Vasconcelos,601.0,0.48,N,312.52000000000004,9999999999,2024-04-23
0000000081,000081,WLR006BYD003,BMS Calibration,1.0,Maya Azevedo,175.0,0.41,N,103.25,9999999999,2024-08-13
0000000082,000082,WLR001BYD003,Battery Replacement,3.0,Melissa Farias,824.0,0.1,N,741.6,9999999999,2024-06-27
0000000083,000083,WLR008BYD003,Thermal Management Service,1.0,Otto Martins,292.0,0.57,Y,125.56,9999999999,2024-04-26
0000000084,000084,WLR017BYD001,Suspension Repair,1.0,Arthur Miguel Souza,1624.0,0.31,N,1120.56,9999999999,2024-04-22
0000000085,000085,WLR004BYD001,Charging Port Repair,5.0,Alexandre Casa Grande,439.0,0.34,N,289.74,9999999999,2024-08-13
0000000086,000086,WLR017BYD001,Suspension Repair,5.0,Nicolas Barbosa,239.0,0.18,Y,195.98000000000002,9999999999,2024-08-12
0000000087,000087,WLR004BYD001,Charging Port Repair,6.0,Liz Sá,1305.0,0.55,N,587.2499999999999,9999999999,2024-08-08
0000000088,000088,WLR019BYD001,Windshield Replacement,1.0,Olívia Almeida,1300.0,0.16,Y,1092.0,9999999999,2024-08-11
0000000089,000089,WLR001BYD005,Battery Replacement,1.0,Joana Fogaça,127.0,0.42,N,73.66,9999999999,2024-03-13
0000000090,000090,WLR010BYD002,Onboard Charger Repair,3.0,Caroline Sousa,647.0,0.59,N,265.27000000000004,9999999999,2024-06-08
0000000091,000091,WLR001BYD001,Battery Replacement,2.0,Theo Souza,1636.0,0.35,N,1063.4,9999999999,2024-05-18
0000000092,000092,WLR017BYD001,Suspension Repair,4.0,Vitor Hugo Cassiano,1014.0,0.53,N,476.5799999999999,9999999999,2024-08-12
0000000093,000093,WLR004BYD001,Charging Port Repair,1.0,Liam da Rocha,1378.0,0.21,N,1088.62,9999999999,2024-06-18
0000000094,000094,WLR001BYD004,Battery Replacement,5.0,Lunna Moraes,523.0,0.57,Y,224.89000000000004,9999999999,2024-05-30
0000000095,000095,WLR003BYD003,Inverter Replacement,5.0,Benjamim Fernandes,974.0,0.6,N,389.6,9999999999,2024-08-09
0000000096,000096,WLR017BYD004,Suspension Repair,1.0,Dante Pinto,441.0,0.52,N,211.67999999999998,9999999999,2024-04-26
0000000097,000097,WLR013BYD001,Heat Pump Repair,1.0,Camila Câmara,995.0,0.41,N,587.05,9999999999,2024-07-14
0000000098,000098,WLR017BYD001,Suspension Repair,3.0,Nicole Novaes,1674.0,0.41,N,987.6600000000001,9999999999,2024-07-07
0000000099,000099,WLR004BYD004,Charging Port Repair,4.0,Diego Oliveira,831.0,0.54,N,382.26,9999999999,2024-04-12
0000000100,000100,WLR001BYD003,Battery Replacement,2.0,João Vitor Duarte,1303.0,0.48,Y,677.5600000000001,9999999999,2024-03-12
