CLIENT_ID,CLIENT_FIRST_NAME,CLIENT_LAST_NAME,CAR,CLAIM,dealerId,delaerOrderId
111.0,Camila,Gonçalves,Dolphin,Suspension problems,10.0,000111
112.0,Maria Sophia,Ribeiro,Dolphin,Battery overheating,31.0,000112
113.0,Natália,Melo,Yuan,Software glitches,5.0,000113
114.0,Brayan,Campos,Tan,Battery management system failure,9.0,000114
115.0,Bianca,Rocha,Yuan,Wiring problems,28.0,000115
116.0,Maria Fernanda,Marques,Dolphin,Charging issues,2.0,000116
117.0,Mateus,Novais,Han,Battery management system failure,1.0,000117
118.0,Bryan,Correia,Dolphin,Connectivity issues,21.0,000118
119.0,Maria,Souza,Dolphin,Overheating of battery,45.0,000119
120.0,Luna,Castro,Dolphin,Charging issues,32.0,000120
121.0,Lavínia,Mendes,Dolphin,Cooling system issues,17.0,000121
122.0,Ana Sophia,Cardoso,Yuan,Overheating of battery,31.0,000122
123.0,Marcela,Oliveira,Dolphin,Software glitches,17.0,000123
124.0,Liam,da Paz,Yuan,Windshield replacement,32.0,000124
125.0,Anna Liz,Pinto,Dolphin,Battery degradation,4.0,000125
126.0,José Pedro,Freitas,Dolphin,Electric motor failure,28.0,000126
127.0,Gabriel,Almeida,Dolphin,Regenerative braking issues,25.0,000127
128.0,Lara,Sales,Han,Electrical system faults,22.0,000128
129.0,Esther,Rezende,Yuan,Tire replacement,15.0,000129
130.0,Vitor Gabriel,da Cruz,Dolphin,Electric motor failure,40.0,000130
131.0,Arthur Gabriel,Rezende,Dolphin,Electric motor failure,35.0,000131
132.0,Davi,Sampaio,Han,Regenerative braking issues,13.0,000132
133.0,Aurora,Pastor,Tan,Regenerative braking issues,41.0,000133
134.0,Gustavo,Machado,Dolphin,Electric motor failure,13.0,000134
135.0,Gustavo Henrique,Ribeiro,Dolphin,Windshield replacement,26.0,000135
136.0,Jade,Vasconcelos,Tan,Fluid top-up,44.0,000136
137.0,Marcela,Camargo,Dolphin,Regenerative braking issues,3.0,000137
138.0,Maria Luiza,da Paz,Dolphin,Charging issues,23.0,000138
139.0,Pedro Miguel,Caldeira,Dolphin,Battery degradation,5.0,000139
140.0,Vinícius,Peixoto,Yuan,Overheating of battery,45.0,000140
141.0,Luiz Fernando,Araújo,Yuan,Charging issues,49.0,000141
142.0,Marcos Vinicius,Costela,Dolphin,Wiring problems,30.0,000142
143.0,Maria Júlia,Vargas,Yuan,Cooling system issues,13.0,000143
144.0,Paulo,Costela,Seal,Battery management system failure,24.0,000144
145.0,Larissa,Oliveira,Seal,Cooling system issues,19.0,000145
146.0,Yasmin,Nascimento,Dolphin,Battery degradation,15.0,000146
147.0,Davi Luiz,Moura,Dolphin,Software glitches,10.0,000147
148.0,Melina,Vargas,Dolphin,Battery degradation,1.0,000148
149.0,João Lucas,Casa Grande,Dolphin,Electrical system faults,23.0,000149
150.0,Noah,Camargo,Dolphin,Inverter problems,12.0,000150
151.0,Ravi Lucca,Melo,Dolphin,Charging issues,50.0,000151
152.0,Davi Lucas,das Neves,Yuan,Charging issues,10.0,000152
153.0,Maria Vitória,Costela,Seal,Battery degradation,15.0,000153
154.0,Luiz Fernando,da Mota,Yuan,Charging port issues,33.0,000154
155.0,Juliana,Costela,Yuan,Vehicle control system failures,28.0,000155
156.0,Vitor Gabriel,da Cunha,Yuan,Range anxiety,35.0,000156
157.0,Maria Liz,Aparecida,Dolphin,Connectivity issues,36.0,000157
158.0,Esther,Barros,Dolphin,Software glitches,29.0,000158
159.0,Danilo,Sousa,Dolphin,Electric motor failure,1.0,000159
160.0,Matheus,Barbosa,Dolphin,Battery management system failure,32.0,000160
161.0,Luana,Barros,Yuan,Brake system maintenance,6.0,000161
162.0,Emanuelly,Câmara,Dolphin,Tire replacement,43.0,000162
163.0,Ester,Costela,Dolphin,Battery degradation,31.0,000163
164.0,Diego,Cavalcanti,Dolphin,Regenerative braking issues,40.0,000164
165.0,Noah,Camargo,Dolphin,Battery degradation,23.0,000165
166.0,Ana Carolina,Leão,Tan,Charging issues,27.0,000166
167.0,Yago,Nascimento,Dolphin,Wiring problems,28.0,000167
168.0,Caroline,Vasconcelos,Yuan,Electric motor failure,42.0,000168
169.0,Nicolas,Abreu,Dolphin,Inverter problems,20.0,000169
170.0,Ravi,Vasconcelos,Dolphin,Regenerative braking issues,6.0,000170
171.0,Alexia,Souza,Dolphin,Battery degradation,8.0,000171
172.0,João Gabriel,Mendes,Dolphin,Inverter problems,27.0,000172
173.0,Fernanda,Nascimento,Yuan,Charging issues,9.0,000173
174.0,Maysa,Porto,Dolphin,Charging issues,21.0,000174
175.0,Luiz Otávio,da Cunha,Dolphin,Windshield replacement,29.0,000175
176.0,Luiz Henrique,da Paz,Han,Charging issues,18.0,000176
177.0,Raul,Cirino,Dolphin,Charging port issues,1.0,000177
178.0,Gustavo Henrique,Pastor,Tan,Charging issues,47.0,000178
179.0,Pedro Miguel,Vasconcelos,Dolphin,Brake system maintenance,46.0,000179
180.0,Julia,Silva,Dolphin,Charging issues,10.0,000180
181.0,Eduarda,Ribeiro,Tan,Electrical system faults,25.0,000181
182.0,Josué,Barbosa,Dolphin,Inverter problems,12.0,000182
183.0,Lorena,Souza,Dolphin,Battery degradation,20.0,000183
184.0,Lucas Gabriel,Freitas,Han,Vehicle control system failures,14.0,000184
185.0,Antônio,Lopes,Tan,Charging port issues,39.0,000185
186.0,Stella,Farias,Tan,Charging issues,8.0,000186
187.0,Joaquim,Souza,Dolphin,Windshield replacement,10.0,000187
188.0,Igor,Montenegro,Yuan,Tire replacement,24.0,000188
189.0,Emanuella,Sampaio,Dolphin,Charging port issues,8.0,000189
190.0,Antony,Ribeiro,Dolphin,Charging port issues,28.0,000190
191.0,Theodoro,Sales,Han,Battery management system failure,6.0,000191
192.0,Pietro,Silveira,Dolphin,Charging issues,46.0,000192
193.0,Isabelly,Pimenta,Han,Battery degradation,42.0,000193
194.0,Pedro Miguel,Jesus,Han,Charging issues,3.0,000194
195.0,Dante,Rezende,Dolphin,Battery degradation,6.0,000195
196.0,Evelyn,da Rocha,Yuan,Battery overheating,16.0,000196
197.0,Ana Beatriz,Guerra,Seal,Overheating of battery,47.0,000197
198.0,Júlia,Souza,Dolphin,Vehicle control system failures,22.0,000198
199.0,Bella,Leão,Han,Charging issues,23.0,000199
200.0,Felipe,Cassiano,Tan,Brake system maintenance,50.0,000200
201.0,Nina,Cirino,Dolphin,Battery degradation,8.0,000201
202.0,Ana Luiza,Farias,Yuan,Battery management system failure,48.0,000202
203.0,Cecilia,Novais,Dolphin,Electrical system faults,1.0,000203
204.0,Ana Julia,Brito,Han,Battery management system failure,50.0,000204
205.0,Isadora,Albuquerque,Dolphin,Battery management system failure,46.0,000205
206.0,João Vitor,Siqueira,Dolphin,Regenerative braking issues,36.0,000206
207.0,Agatha,da Mata,Dolphin,Vehicle control system failures,5.0,000207
208.0,Mirella,Guerra,Dolphin,Electric motor failure,14.0,000208
209.0,Benjamim,da Conceição,Dolphin,Fluid top-up,49.0,000209
210.0,Diogo,Sales,Han,Overheating of battery,28.0,000210
211.0,Theodoro,Macedo,Yuan,Battery management system failure,34.0,000211
212.0,Ester,Garcia,Yuan,Cabin filter replacement,34.0,000212
213.0,Bárbara,Ribeiro,Yuan,Range anxiety,19.0,000213
214.0,Liz,Gomes,Yuan,Range anxiety,13.0,000214
215.0,Maria Clara,Brito,Tan,Battery management system failure,17.0,000215
216.0,Rafaela,da Costa,Yuan,Inconsistent charging,41.0,000216
217.0,Erick,Martins,Dolphin,Cabin filter replacement,24.0,000217
218.0,Ravi Lucca,Andrade,Dolphin,Software glitches,5.0,000218
219.0,Nathan,Marques,Dolphin,Battery degradation,48.0,000219
220.0,Bianca,Pinto,Seal,Battery degradation,34.0,000220
221.0,Bella,Albuquerque,Dolphin,Electric motor failure,20.0,000221
222.0,Luna,Moreira,Tan,Battery management system failure,3.0,000222
223.0,Pietro,Abreu,Dolphin,Brake system maintenance,12.0,000223
224.0,Davi Miguel,Duarte,Yuan,Battery management system failure,32.0,000224
225.0,Alana,Silveira,Dolphin,Battery degradation,43.0,000225
226.0,Ana Cecília,Farias,Dolphin,Battery management system failure,36.0,000226
227.0,Valentina,das Neves,Han,Charging port issues,5.0,000227
228.0,Maria Cecília,Vargas,Han,Suspension problems,24.0,000228
229.0,Ana Liz,Vasconcelos,Dolphin,Electric motor failure,14.0,000229
230.0,Carolina,Vargas,Dolphin,Overheating of battery,5.0,000230
231.0,Helena,Castro,Dolphin,Battery degradation,25.0,000231
232.0,Emanuella,Teixeira,Dolphin,Suspension problems,47.0,000232
233.0,Larissa,Moraes,Seal,Charging issues,38.0,000233
234.0,Lunna,da Luz,Tan,Electrical system faults,16.0,000234
235.0,Asafe,Silveira,Dolphin,Connectivity issues,44.0,000235
236.0,João Gabriel,Freitas,Dolphin,Electric motor failure,35.0,000236
237.0,Maria Laura,Costela,Seal,Battery degradation,30.0,000237
238.0,Diego,Cirino,Dolphin,Battery management system failure,50.0,000238
239.0,Cauã,Campos,Yuan,Range anxiety,46.0,000239
240.0,Maria Laura,da Cunha,Yuan,Wiring problems,50.0,000240
241.0,Beatriz,Pereira,Yuan,Electric motor failure,20.0,000241
242.0,Ana Julia,da Paz,Dolphin,Overheating of battery,37.0,000242
243.0,Eloá,Barros,Dolphin,Connectivity issues,34.0,000243
244.0,Maria Laura,Sousa,Dolphin,Charging port issues,29.0,000244
245.0,Davi Lucca,Santos,Han,Brake system maintenance,2.0,000245
246.0,Ana Beatriz,Peixoto,Dolphin,Regenerative braking issues,42.0,000246
247.0,Luiz Fernando,Mendonça,Dolphin,Inverter problems,13.0,000247
248.0,Clarice,Novaes,Dolphin,Battery degradation,17.0,000248
249.0,Valentim,Barros,Dolphin,Cooling system issues,31.0,000249
250.0,Ana Sophia,Aparecida,Dolphin,Regenerative braking issues,37.0,000250
251.0,Sophie,da Costa,Dolphin,Brake system maintenance,19.0,000251
252.0,Emilly,Moreira,Tan,Brake system maintenance,39.0,000252
253.0,Ana Vitória,da Costa,Dolphin,Battery degradation,29.0,000253
254.0,Olivia,Carvalho,Tan,Windshield replacement,16.0,000254
255.0,Vicente,Leão,Dolphin,Battery degradation,41.0,000255
256.0,Guilherme,Moura,Dolphin,Electric motor failure,7.0,000256
257.0,Daniela,Araújo,Yuan,Battery degradation,42.0,000257
258.0,Luiz Miguel,Abreu,Dolphin,Range anxiety,5.0,000258
259.0,João Vitor,Caldeira,Dolphin,Cabin filter replacement,49.0,000259
260.0,Anna Liz,Campos,Yuan,Brake system maintenance,44.0,000260
261.0,Erick,Cassiano,Dolphin,Cooling system issues,41.0,000261
262.0,Miguel,Silveira,Tan,Regenerative braking issues,19.0,000262
263.0,Diego,Viana,Han,Brake system maintenance,19.0,000263
264.0,Diogo,Vasconcelos,Tan,Range anxiety,21.0,000264
265.0,Juan,Brito,Dolphin,Battery degradation,50.0,000265
266.0,Maria Alice,Leão,Dolphin,Battery management system failure,8.0,000266
267.0,Sarah,Melo,Yuan,Battery overheating,11.0,000267
268.0,Ana Liz,Rezende,Seal,Regenerative braking issues,17.0,000268
269.0,Lorena,Peixoto,Dolphin,Regenerative braking issues,38.0,000269
270.0,Davi,Brito,Dolphin,Battery degradation,42.0,000270
271.0,Marcos Vinicius,Cavalcante,Han,Battery degradation,8.0,000271
272.0,Yago,Viana,Dolphin,Range anxiety,18.0,000272
273.0,Luísa,Casa Grande,Dolphin,Inverter problems,1.0,000273
274.0,Davi Miguel,Costela,Dolphin,Electrical system faults,10.0,000274
275.0,Anthony,Cassiano,Dolphin,Electrical system faults,39.0,000275
276.0,Benjamim,Costa,Dolphin,Electrical system faults,9.0,000276
277.0,Liam,Cardoso,Yuan,Inverter problems,23.0,000277
278.0,Alexandre,Costa,Dolphin,Tire replacement,40.0,000278
279.0,Danilo,da Cunha,Dolphin,Wiring problems,6.0,000279
280.0,Lunna,Pacheco,Yuan,Windshield replacement,40.0,000280
281.0,Luísa,Câmara,Dolphin,Suspension problems,16.0,000281
282.0,Bento,Mendonça,Yuan,Electrical system faults,32.0,000282
283.0,Cecília,Abreu,Dolphin,Brake system maintenance,34.0,000283
284.0,Rafael,Rezende,Dolphin,Tire replacement,5.0,000284
285.0,Stella,Cirino,Dolphin,Charging issues,40.0,000285
286.0,Nathan,Fogaça,Seal,Charging issues,5.0,000286
287.0,Eduardo,da Costa,Tan,Charging issues,4.0,000287
288.0,Arthur,Cavalcanti,Tan,Overheating of battery,15.0,000288
289.0,Thales,da Luz,Dolphin,Electrical system faults,9.0,000289
290.0,Anthony Gabriel,da Rosa,Dolphin,Electrical system faults,41.0,000290
291.0,Manuela,Cavalcante,Yuan,Windshield replacement,13.0,000291
292.0,Leonardo,Campos,Dolphin,Range anxiety,31.0,000292
293.0,Sophia,Camargo,Dolphin,Electric motor failure,20.0,000293
294.0,Fernanda,Albuquerque,Yuan,Electric motor failure,32.0,000294
295.0,Henry Gabriel,da Rosa,Dolphin,Overheating of battery,46.0,000295
296.0,Aylla,Nascimento,Tan,Range anxiety,30.0,000296
297.0,Aurora,Jesus,Yuan,Charging port issues,17.0,000297
298.0,Ayla,Cunha,Yuan,Range anxiety,25.0,000298
299.0,Gabriel,Marques,Dolphin,Electrical system faults,39.0,000299
300.0,Vicente,Rezende,Dolphin,Battery management system failure,17.0,000300
301.0,Alexia,Costela,Dolphin,Wiring problems,11.0,000301
302.0,Samuel,Almeida,Dolphin,Cooling system issues,45.0,000302
303.0,Maria,Caldeira,Tan,Charging port issues,29.0,000303
304.0,Bárbara,Albuquerque,Yuan,Battery management system failure,38.0,000304
305.0,Ravi Lucca,Viana,Dolphin,Overheating of battery,12.0,000305
306.0,Júlia,Borges,Dolphin,Regenerative braking issues,47.0,000306
307.0,Davi Luiz,Leão,Dolphin,Charging issues,42.0,000307
308.0,José Pedro,Novaes,Dolphin,Overheating of battery,11.0,000308
309.0,Arthur,Mendes,Dolphin,Brake system maintenance,34.0,000309
310.0,Maria,da Cunha,Dolphin,Tire replacement,24.0,000310
311.0,Igor,Câmara,Han,Regenerative braking issues,23.0,000311
312.0,Theodoro,Duarte,Seal,Charging port issues,9.0,000312
313.0,Olívia,Sá,Yuan,Battery management system failure,33.0,000313
314.0,Arthur Miguel,Dias,Dolphin,Inverter problems,23.0,000314
315.0,Antônio,Costa,Dolphin,Battery degradation,44.0,000315
316.0,Vicente,Borges,Dolphin,Tire replacement,35.0,000316
317.0,Ísis,Sales,Han,Brake system maintenance,30.0,000317
318.0,Theodoro,Gonçalves,Dolphin,Vehicle control system failures,2.0,000318
319.0,João Vitor,Martins,Yuan,Charging issues,19.0,000319
320.0,Danilo,Borges,Tan,Electric motor failure,27.0,000320
321.0,Clara,Macedo,Seal,Inverter problems,37.0,000321
322.0,Lara,da Mota,Han,Regenerative braking issues,29.0,000322
323.0,João,Cavalcante,Yuan,Electric motor failure,7.0,000323
324.0,Maria Flor,Aragão,Dolphin,Charging port issues,29.0,000324
325.0,Eduarda,da Mota,Yuan,Wiring problems,38.0,000325
326.0,Isabela,da Rocha,Seal,Battery management system failure,30.0,000326
327.0,Valentim,Vargas,Dolphin,Charging issues,22.0,000327
328.0,Mateus,da Costa,Dolphin,Battery overheating,45.0,000328
329.0,Bárbara,Pacheco,Dolphin,Connectivity issues,10.0,000329
330.0,Thales,Brito,Dolphin,Battery management system failure,40.0,000330
331.0,Augusto,Souza,Yuan,Software glitches,24.0,000331
332.0,Calebe,Martins,Tan,Range anxiety,23.0,000332
333.0,Vitor,Monteiro,Han,Range anxiety,14.0,000333
334.0,Lucca,Casa Grande,Tan,Brake system maintenance,33.0,000334
335.0,Ravy,Oliveira,Dolphin,Overheating of battery,42.0,000335
336.0,João Felipe,Casa Grande,Dolphin,Overheating of battery,37.0,000336
337.0,Ana Vitória,Macedo,Dolphin,Windshield replacement,8.0,000337
338.0,João Gabriel,Nunes,Dolphin,Battery overheating,47.0,000338
339.0,Cecília,Borges,Dolphin,Battery management system failure,46.0,000339
340.0,Maitê,Aparecida,Dolphin,Charging issues,10.0,000340
341.0,Danilo,Mendonça,Dolphin,Charging port issues,38.0,000341
342.0,Esther,Barbosa,Dolphin,Battery management system failure,30.0,000342
343.0,Théo,Mendonça,Dolphin,Regenerative braking issues,41.0,000343
344.0,Antonella,Sousa,Tan,Electrical system faults,5.0,000344
345.0,Arthur Gabriel,Correia,Yuan,Battery management system failure,19.0,000345
346.0,Pietra,Azevedo,Yuan,Battery management system failure,1.0,000346
347.0,Letícia,Vargas,Dolphin,Battery management system failure,3.0,000347
348.0,Benjamin,Campos,Dolphin,Inverter problems,17.0,000348
349.0,Davi,Cassiano,Seal,Electric motor failure,13.0,000349
350.0,Marina,Pimenta,Dolphin,Vehicle control system failures,35.0,000350
351.0,Thales,Gomes,Yuan,Software glitches,27.0,000351
352.0,Rafael,Mendes,Tan,Battery management system failure,2.0,000352
353.0,Yasmin,Azevedo,Dolphin,Battery degradation,49.0,000353
354.0,Francisco,Fogaça,Dolphin,Battery degradation,23.0,000354
355.0,Melissa,Pacheco,Yuan,Battery degradation,9.0,000355
356.0,Maitê,da Rosa,Dolphin,Electrical system faults,28.0,000356
357.0,Olivia,Caldeira,Dolphin,Electric motor failure,43.0,000357
358.0,Raul,Rezende,Dolphin,Range anxiety,13.0,000358
359.0,Davi Lucas,Ribeiro,Dolphin,Range anxiety,46.0,000359
360.0,Gustavo Henrique,Montenegro,Dolphin,Overheating of battery,9.0,000360
361.0,Ana Vitória,Rocha,Tan,Electrical system faults,25.0,000361
362.0,Eloá,Ramos,Dolphin,Tire replacement,21.0,000362
363.0,Kevin,Moreira,Dolphin,Cabin filter replacement,8.0,000363
364.0,Dante,Correia,Dolphin,Regenerative braking issues,43.0,000364
365.0,Vinícius,Moreira,Yuan,Electrical system faults,6.0,000365
366.0,Bento,Alves,Dolphin,Battery degradation,30.0,000366
367.0,José Pedro,Marques,Han,Cabin filter replacement,39.0,000367
368.0,João Vitor,Viana,Dolphin,Charging issues,26.0,000368
369.0,Augusto,Rocha,Dolphin,Battery degradation,48.0,000369
370.0,Luiz Otávio,Lopes,Dolphin,Battery degradation,33.0,000370
371.0,Caio,Freitas,Dolphin,Electrical system faults,16.0,000371
372.0,Bianca,Freitas,Dolphin,Electric motor failure,38.0,000372
373.0,Lívia,Lopes,Dolphin,Battery degradation,31.0,000373
374.0,Mariane,Pastor,Yuan,Windshield replacement,27.0,000374
375.0,Paulo,Câmara,Han,Inconsistent charging,29.0,000375
376.0,Benjamim,Abreu,Han,Charging port issues,19.0,000376
377.0,Mirella,Borges,Dolphin,Electric motor failure,32.0,000377
378.0,Marcela,da Rocha,Yuan,Battery degradation,8.0,000378
379.0,Isaque,Vargas,Dolphin,Cabin filter replacement,6.0,000379
380.0,Cecilia,Moreira,Dolphin,Electric motor failure,49.0,000380
381.0,Bernardo,da Rosa,Dolphin,Battery management system failure,11.0,000381
382.0,Vitor Hugo,Campos,Seal,Overheating of battery,6.0,000382
383.0,Benicio,Castro,Dolphin,Inverter problems,34.0,000383
384.0,Dom,da Rosa,Tan,Range anxiety,17.0,000384
385.0,Sarah,Oliveira,Dolphin,Electric motor failure,19.0,000385
386.0,Lorena,Macedo,Dolphin,Overheating of battery,42.0,000386
387.0,Sara,Nogueira,Dolphin,Battery degradation,21.0,000387
388.0,Levi,Albuquerque,Yuan,Inverter problems,28.0,000388
389.0,Rafaela,Nunes,Dolphin,Electrical system faults,36.0,000389
390.0,Bento,Viana,Dolphin,Overheating of battery,39.0,000390
391.0,Ravy,Farias,Seal,Electric motor failure,46.0,000391
392.0,Maria Sophia,Novaes,Dolphin,Range anxiety,40.0,000392
393.0,Ana,Rocha,Dolphin,Wiring problems,34.0,000393
394.0,Valentim,Barbosa,Dolphin,Overheating of battery,41.0,000394
395.0,Anthony Gabriel,Leão,Dolphin,Cooling system issues,2.0,000395
396.0,Carlos Eduardo,Casa Grande,Dolphin,Connectivity issues,38.0,000396
397.0,Letícia,Silva,Yuan,Charging issues,45.0,000397
398.0,Ana Lívia,Almeida,Tan,Cooling system issues,42.0,000398
