dealerOrderId,dealerId,dealerOrderNo,createBy,createName,updateBy,updateName,repairType,orderStatus,orderCreateDate,orderLastBalanceDate,vin,custName,custEmail,deliverer,delivererMobile,powerMileage,totalMileage,createClaimFlag,claimNo,activityFlag,activityCode,troubleDesc,deliverProblem,checkResult,isSecstore,secstoreId
000011,000045,81.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-06-11,2024-06-21,IRE-6B42,Isabelly Fogaça,Fogaça.Isabelly@uol.com.br,Lucas Gabriel Pastor,84 8758 7952,21997.0,18632.0,Y,3003548c-e65c-4862-9303-081268dd42d2,Y,92ce99a1-af7c-4c39-89f7-e90a4612252f,Inconsistent charging,,,Y,45626421-c439-4dab-9451-9d2b2af453b9
000012,000028,47.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-02-19,2024-07-25,GUR-9F65,Fernando Dias,Dias.Fernando@@gmail.com,Henrique da Mata,+55 71 9483 3003,47176.0,54735.0,N,,Y,43e238ea-2ecc-422d-a17e-1c2547021aa1,Suspension problems,,,N,
000013,000038,56.0,9999999999,Name,9999999988,Name,Non-Warranty,Pending,2024-03-01,2024-05-22,GUL-6Z48,Benjamim Rocha,Rocha.Benjamim@@yahoo.com.br,Dr. Henry Gabriel Gonçalves,+55 51 9274 8835,14679.0,34191.0,Y,99a780f4-7582-4f5a-9785-b86a391be65f,Y,f4c55930-95fd-45af-94d2-0e4eff69325e,Cabin filter replacement,,,N,
000014,000026,32.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-05-29,2024-06-02,KOU-1Q64,Maria Eduarda Silveira,Silveira.Maria Eduarda@@gmail.com,Rafaela Peixoto,(084) 5299 9749,7572.0,3793.0,Y,b604acba-44be-4bae-9786-3b9ad3179fc8,Y,78f00a0a-3da7-4820-86d6-eb0e656341de,Suspension problems,,,Y,63e80dcc-3de0-4594-ad9c-a808385ad79f
000015,000006,89.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-04-08,2024-07-12,GWR-1W63,Nicole da Conceição,da Conceição.Nicole@@yahoo.com.br,Arthur da Rocha,71 6518 6858,21938.0,75011.0,Y,7701097b-568c-4fa9-ac3c-9e4876e6dcf2,Y,9f389fe3-c0e6-4035-aed1-61813218dbaa,Suspension problems,,,Y,795819e7-cbec-4899-8ef6-4a8b022e00fa
000016,000038,67.0,9999999999,Name,9999999988,Name,Non-Warranty,Pending,2024-06-03,2024-06-30,CDG-4S45,Valentim Garcia,Garcia.Valentim@@yahoo.com.br,Ana Júlia Sousa,(031) 0085 6372,10532.0,48162.0,N,,Y,f304a74f-131f-4052-87d2-19b3a9fe4da5,Wiring problems,,,N,
000017,000034,73.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-04-26,2024-05-07,ZOA-7M65,Dante Lopes,Lopes.Dante@@yahoo.com.br,Léo Camargo,41 3944 7707,923.0,37361.0,Y,778b24b4-be76-4471-a44b-18dd9afa0f19,N,,Inconsistent charging,,,N,
000018,000021,21.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-04-28,2024-07-04,JFB-6A62,Manuella Mendonça,Mendonça.Manuella@uol.com.br,Nina Souza,71 2097-9051,41000.0,44314.0,N,,Y,9142b33e-0eea-46a8-b2d6-65748c79a51b,Fluid top-up,,,N,
000019,000009,117.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-05-19,2024-06-16,ZYQ-3H90,Lucas Cunha,Cunha.Lucas@uol.com.br,Sr. João Miguel Barros,+55 84 5190-9167,33991.0,28383.0,Y,f482df32-ee8e-4c71-bbdd-a34e2371b9e3,N,,Inconsistent charging,,,N,
000020,000034,33.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-03-25,2024-05-21,NOR-9X27,Henry Nogueira,Nogueira.Henry@@yahoo.com.br,Bárbara Oliveira,71 6898 6134,6389.0,32885.0,Y,a1ab5d11-3df0-4684-b778-6f2b240bd242,N,,Suspension problems,,,Y,e623b4bc-40de-4159-be50-ca26f7f733f1
000021,000004,56.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-04-27,2024-06-16,QPQ-9N09,Pietra Brito,Brito.Pietra@uol.com.br,Rael Silva,+55 31 2346-7472,18788.0,87651.0,Y,fc3da159-d062-423d-9496-2043fb30914a,Y,0b6a8855-cf8c-41ff-bb86-4a4160863e2c,Software glitches,,,N,
000022,000039,49.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-05-11,2024-07-08,ECM-0Y15,Sabrina Cunha,Cunha.Sabrina@uol.com.br,Maria Luiza Macedo,+55 (051) 9327-0743,22594.0,12836.0,N,,Y,a9953e15-058a-489b-b631-30c7d50938f1,Suspension problems,,,Y,c14e2227-394c-45e5-b5f5-44d404b44966
000023,000030,21.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-02-02,2024-06-04,TAU-4G04,Isabelly Duarte,Duarte.Isabelly@@outlook.com,Paulo Cassiano,41 7293-4520,9684.0,42436.0,N,,N,,Inconsistent charging,,,Y,bcd3255a-5676-4a54-872e-617967ef9c19
000024,000020,89.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-03-18,2024-04-14,AMN-3G23,Yuri da Conceição,da Conceição.Yuri@uol.com.br,Dra. Maria Laura Correia,84 7956-0944,48601.0,72032.0,N,,N,,Charging port issues,,,Y,1b5f2898-1f91-4794-b579-01e7c564ae1c
000025,000042,26.0,9999999999,Name,9999999988,Name,Non-Warranty,Pending,2024-07-11,2024-07-25,FBG-3G45,Dante Dias,Dias.Dante@uol.com.br,Henry Aparecida,84 7293 0493,46828.0,15205.0,N,,Y,d9a2f95a-f4a3-47d6-9904-c27858360722,Overheating of battery,,,N,
000026,000037,43.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-05-28,2024-07-11,HYL-1K87,Agatha Borges,Borges.Agatha@@yahoo.com.br,Luara Barbosa,+55 (041) 8375-5256,8224.0,16189.0,N,,N,,Inconsistent charging,,,Y,ceeb9f6f-8b54-43fc-b9cc-7f55e916fa00
000027,000034,105.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-06-18,2024-06-26,NBP-9P29,Léo Caldeira,Caldeira.Léo@uol.com.br,Sra. Sophie Teixeira,+55 (084) 0278 5728,38697.0,31394.0,Y,9d425b6e-f05f-44cf-b089-80f89b667c71,Y,af87f12a-3754-4f42-8cc9-60b3fd5d03c8,Inconsistent charging,,,Y,5ff5c097-42d8-41d5-82a7-cade533a357f
000028,000025,100.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-07-24,2024-07-25,AOH-0B33,Maria Clara Vasconcelos,Vasconcelos.Maria Clara@@gmail.com,Bárbara Martins,0500-037-7006,8527.0,12347.0,N,,Y,d64caf02-781f-4e2b-8c9d-52759e074362,Inconsistent charging,,,Y,232ae2df-2382-4dcc-ab7e-8cc9193f3ad7
000029,000032,52.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-05-12,2024-07-07,GTO-2T12,Augusto Mendes,Mendes.Augusto@@yahoo.com.br,Juan Nunes,0800-581-2339,15609.0,36601.0,Y,03b0a104-9e05-44c5-a614-69da06ec2078,Y,14b97a8b-397f-452e-b32e-b03f65dbe71d,Range anxiety,,,N,
000030,000018,57.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-06-26,2024-07-13,VXU-9R76,Daniela da Cunha,da Cunha.Daniela@@outlook.com,Julia Albuquerque,(071) 3375 4044,30623.0,99777.0,Y,d3963e73-fec1-4473-95d8-ed4aeb59369f,N,,Suspension problems,,,N,
000031,000009,32.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-02-24,2024-03-16,CGP-0F89,Luara Cavalcanti,Cavalcanti.Luara@@yahoo.com.br,Ester Cirino,71 9839 3948,44239.0,3494.0,Y,e3c7d4f3-5dac-46ef-8e85-eff5442b2098,N,,Overheating of battery,,,Y,c811a536-acf5-434e-9582-0cb03e571d77
000032,000035,63.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-01-26,2024-06-10,LOC-8B78,Breno Silva,Silva.Breno@@outlook.com,Dr. Dom Silva,+55 (061) 3679-1220,10811.0,4554.0,N,,N,,Cabin filter replacement,,,N,
000033,000019,96.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-02-27,2024-04-27,YYY-3J62,Sara Cavalcanti,Cavalcanti.Sara@@outlook.com,Clara Cardoso,+55 (051) 7475 1277,35779.0,12379.0,Y,6dd6ea27-3138-446b-bc43-903f2a1f8fdc,N,,Electrical system faults,,,Y,954449fd-8d15-40bd-8fdb-fc3bdf77c6dd
000034,000014,30.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-03-08,2024-03-31,CIO-0L66,Lorenzo Lopes,Lopes.Lorenzo@uol.com.br,Samuel Jesus,+55 (081) 2581 5457,47574.0,77933.0,Y,d887cdca-d167-40c0-a439-8030b7b3612b,N,,Inconsistent charging,,,Y,83d2815b-5f59-4193-994d-39e339fdbeaf
000035,000032,99.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-04-24,2024-06-08,ACX-7Q51,Miguel da Rosa,da Rosa.Miguel@@yahoo.com.br,Sra. Gabrielly das Neves,(041) 3825 1751,19649.0,90342.0,Y,2b9230ee-aae6-4078-b08f-08c49cd5315a,N,,Suspension problems,,,N,
000036,000016,33.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-06-25,2024-06-27,MZN-9H15,Sophia Pacheco,Pacheco.Sophia@@gmail.com,Gabriela Moura,+55 84 9470-2545,29036.0,37366.0,Y,d70cf1cf-2f3a-4463-a487-70c85fe4ba8c,N,,Charging issues,,,N,
000037,000033,36.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-04-16,2024-04-26,XTZ-0A90,Cauã Aragão,Aragão.Cauã@@yahoo.com.br,Srta. Maria Julia Pimenta,+55 (071) 0245-6773,35398.0,82199.0,Y,944abaec-a6c8-4303-9a90-a4029157291d,Y,3bec5e3f-c3c4-4f18-957c-01e89b0d2404,Inconsistent charging,,,Y,8aed0d21-ab15-4a35-9329-46bb032a50fc
000038,000050,56.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-02-17,2024-04-02,PEW-1P03,Raul Alves,Alves.Raul@@outlook.com,Maria Laura Dias,+55 (021) 3580 2492,111.0,12826.0,Y,e78837e7-fd5d-46ee-986a-873a6b3bca6a,Y,403713f8-0fed-48e7-8bc0-3809c1c1f430,Wiring problems,,,Y,0b0c296f-a992-4cf5-be6a-8cfb29fe8a29
000039,000041,73.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-05-09,2024-06-27,HYU-8S95,Ester da Cunha,da Cunha.Ester@@outlook.com,Luigi da Paz,+55 71 3609 3469,22846.0,4363.0,N,,N,,Suspension problems,,,N,
000040,000014,64.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-02-06,2024-07-14,NQB-7Y92,Maria Silveira,Silveira.Maria@uol.com.br,Arthur Gabriel Campos,+55 81 9699 2325,41562.0,89030.0,N,,Y,1a042905-4ac3-4b75-af0c-e0a808a1ae8a,Suspension problems,,,N,
000041,000040,67.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-07-01,2024-07-16,KNM-5V32,Alexia da Mota,da Mota.Alexia@@gmail.com,Theo Barbosa,+55 81 6190-5695,959.0,13063.0,N,,N,,Inconsistent charging,,,Y,9a098d3d-b186-4726-b3da-252fdd79673c
000042,000027,57.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-04-05,2024-05-08,RDM-7L33,Sabrina Farias,Farias.Sabrina@@yahoo.com.br,Joana Melo,+55 (084) 2180 3240,18147.0,65980.0,N,,Y,84f82566-5239-4fbe-9994-1dd193d4e1de,Vehicle control system failures,,,Y,6ba10154-878e-4a50-ac74-0cffdda391fe
000043,000040,35.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-06-27,2024-07-05,DXL-9V00,Evelyn Cardoso,Cardoso.Evelyn@uol.com.br,Sabrina Caldeira,(041) 4684-6974,2863.0,2933.0,Y,f6e18dec-dbf1-4981-ae79-6b48eab38426,Y,c47a0866-c83a-440d-adba-6e1ed23a1ef9,Suspension problems,,,N,
000044,000038,23.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-06-27,2024-07-14,KIX-4A76,Davi Luiz Ramos,Ramos.Davi Luiz@uol.com.br,Isabelly Vasconcelos,71 2221 8759,41696.0,22384.0,N,,N,,Suspension problems,,,N,
000045,000002,81.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-05-26,2024-05-29,JKR-4O09,Lunna Nascimento,Nascimento.Lunna@@gmail.com,Isis Macedo,11 0918-3642,6021.0,74552.0,N,,Y,b38384fa-8d26-41d3-9a39-73d4bfd7b76c,Battery management system failure,,,Y,b3fddc03-960f-40b3-a8d9-c52aef9143cb
000046,000031,100.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-06-16,2024-06-19,MXP-1X92,Ian Siqueira,Siqueira.Ian@@outlook.com,Ana Rodrigues,+55 71 3285 2684,20104.0,36805.0,N,,N,,Overheating of battery,,,Y,18b72ca8-849f-4239-8536-d7301cb1dd9e
000047,000034,69.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-01-08,2024-02-04,ZEM-7Q87,Gael Cassiano,Cassiano.Gael@@outlook.com,Emanuella Gonçalves,+55 71 3809-3781,15545.0,66192.0,N,,N,,Suspension problems,,,Y,9fa2593e-7107-4cec-a64b-7bc39bc5094a
000048,000023,78.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-02-03,2024-05-14,ZAI-8J09,Lucas Fernandes,Fernandes.Lucas@@gmail.com,Arthur Miguel Pereira,41 4951 0227,46896.0,20002.0,Y,466cdf3e-5ea8-4f88-b66e-e8e88fa9c7f2,Y,28cee2e9-8a23-4741-bcbc-550562629dde,Suspension problems,,,Y,a5e20c24-ed92-46e8-bfe5-1181b3a578c5
000049,000038,72.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-06-20,2024-07-09,RTV-0C83,Kamilly Cunha,Cunha.Kamilly@uol.com.br,Valentina Gomes,+55 71 2203 3141,32723.0,92983.0,Y,c2f78e55-0c53-4908-a1ee-0564996d95a8,N,,Inconsistent charging,,,N,
000050,000045,105.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-01-28,2024-04-23,OSR-0E05,Stephany da Cunha,da Cunha.Stephany@uol.com.br,Mathias Cavalcanti,11 8543-5525,30373.0,56687.0,Y,d2ba3d41-29b0-405e-9b81-1bc6f1bb0fe0,Y,6d8b95d7-4494-4bbb-bfdb-701f6701a723,Overheating of battery,,,Y,7a3d7c70-bb55-4a41-bfdc-5044af82996b
000051,000029,120.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-07-17,2024-07-23,CDK-3C09,Clarice Pires,Pires.Clarice@uol.com.br,Luigi Moreira,41 9769 9597,39893.0,32940.0,Y,0ed939a6-1987-40c2-91d5-f5bb640bb3cc,N,,Charging issues,,,Y,7fb57649-45b9-4c3a-a12a-5ba9b17576f8
000052,000047,21.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-03-09,2024-07-02,VUG-9E96,Daniela da Cunha,da Cunha.Daniela@uol.com.br,Erick Campos,(081) 3525-3970,39462.0,98936.0,N,,N,,Cooling system issues,,,N,
000053,000027,34.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-02-11,2024-04-27,YIB-0Q12,Natália Sousa,Sousa.Natália@@outlook.com,Davi Lucca Cirino,+55 (051) 3099 1632,31064.0,20533.0,Y,0313dee9-b715-49db-956d-eb312817ebf1,N,,Suspension problems,,,Y,68ee0565-6fbc-4a67-a862-82274ba77a81
000054,000016,65.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-03-01,2024-03-05,ZBO-1I18,Antônio Moreira,Moreira.Antônio@uol.com.br,Ravy Cardoso,+55 (031) 6917-8992,21224.0,61065.0,Y,a383ebc4-24f3-42f1-87e6-cab4ca072eb8,Y,c2f58956-9775-424f-9ce5-c8d83a127af6,Suspension problems,,,N,
000055,000040,89.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-04-24,2024-05-11,IBZ-4F82,Davi Lucas Ribeiro,Ribeiro.Davi Lucas@@gmail.com,Samuel Costa,+55 21 2129-7581,15309.0,79053.0,N,,Y,de46fc2f-d630-47ee-81a1-fb55976d3baf,Overheating of battery,,,Y,0ccb48ee-83ae-4a1d-810c-05716f91ca44
000056,000026,57.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-04-11,2024-07-20,ZET-3V94,Laura Ribeiro,Ribeiro.Laura@@gmail.com,Eduardo Correia,+55 (021) 1906 3411,34011.0,47315.0,N,,Y,d573006d-813b-4aa0-acd0-4d03ee6bac0b,Inconsistent charging,,,Y,0a6eec58-f793-40fd-a153-bedbebacbfdd
000057,000039,32.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-04-11,2024-06-14,AQF-8C72,Henry Oliveira,Oliveira.Henry@@yahoo.com.br,Lorenzo da Mata,(081) 3870 7147,13201.0,13316.0,N,,N,,Cooling system issues,,,N,
000058,000016,96.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-07-18,2024-07-23,FDU-1L81,Laura Marques,Marques.Laura@uol.com.br,Eduardo Rocha,(081) 7726 4306,18739.0,18982.0,Y,c267386c-331c-4e11-aa9b-ff81a789cbc8,N,,Suspension problems,,,Y,a63423a4-8d67-45dd-9405-b33214a6ea95
000059,000029,20.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-05-01,2024-07-11,WDW-8F02,Diogo Souza,Souza.Diogo@@outlook.com,Henry Gabriel Garcia,31 5065 9958,43817.0,28612.0,N,,Y,c8760380-ae5f-4694-a64f-da724f6a464e,Inconsistent charging,,,Y,8f0dfa07-a5af-4883-86e4-7c8dc21aa9ed
000060,000043,54.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-03-20,2024-05-28,NVE-8K70,Guilherme Silveira,Silveira.Guilherme@@gmail.com,Enzo Gabriel Borges,81 5423-1708,6798.0,90550.0,N,,N,,Software glitches,,,Y,9dd7723e-2793-4aca-94b9-aed54e3c2392
000061,000006,90.0,9999999999,Name,9999999988,Name,Non-Warranty,Pending,2024-07-06,2024-07-25,NAA-0T83,Maria Alice Pires,Pires.Maria Alice@@outlook.com,Luan Sampaio,51 8363 6950,45793.0,85029.0,N,,Y,3dc10930-1c58-454b-a1fa-a2fa2c4a580c,Suspension problems,,,N,
000062,000041,54.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-05-09,2024-05-10,BXG-8C75,Juan Garcia,Garcia.Juan@uol.com.br,Clara Carvalho,+55 51 4833 6899,44941.0,93880.0,N,,Y,6ca6254d-1520-4cbf-8e01-b0fa2094ff50,Inconsistent charging,,,Y,a374c028-b47d-411d-99e4-ad77656c5b4d
000063,000025,31.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-01-15,2024-02-10,ZIE-3Q91,Léo Jesus,Jesus.Léo@@gmail.com,Ana Sophia Aragão,+55 (071) 3133 2909,37812.0,92199.0,N,,Y,88a27070-16d8-4fd2-a68a-43cf41926d1d,Charging issues,,,Y,be357f1b-30ee-4485-87c9-d90ac28d8e89
000064,000031,79.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-05-09,2024-06-17,WJE-8C63,Bernardo Ferreira,Ferreira.Bernardo@@outlook.com,João Gabriel Monteiro,+55 (051) 2871-8109,33364.0,43994.0,N,,N,,Vehicle control system failures,,,N,
000065,000017,115.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-05-06,2024-07-04,DEW-8A56,Laís da Mota,da Mota.Laís@@outlook.com,Eduarda Macedo,+55 41 6239-3495,15599.0,82246.0,Y,016eac84-d63c-4534-829f-5584f721902a,Y,5ac18a82-60f8-4c4a-9281-d1c6b721d17d,Vehicle control system failures,,,Y,ce74114c-f9f2-40e9-9a12-1e4ae82d8e18
000066,000028,116.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-05-24,2024-07-01,ZES-7G39,Alexia Casa Grande,Casa Grande.Alexia@@outlook.com,José Miguel Aragão,81 2716 6255,45365.0,38424.0,N,,N,,Wiring problems,,,N,
000067,000029,80.0,9999999999,Name,9999999988,Name,Non-Warranty,Pending,2024-05-02,2024-07-09,QOI-9Z31,Enzo Porto,Porto.Enzo@@outlook.com,Dra. Ágatha Cavalcanti,21 9420-6194,36912.0,65589.0,N,,Y,632242de-4e97-4953-90ba-e3187d35c07d,Suspension problems,,,Y,5d966cc0-a206-48b5-958d-b3e76608f857
000068,000004,97.0,9999999999,Name,9999999988,Name,Warranty,In Progress,2024-05-09,2024-06-17,KRC-4B27,Lívia Nogueira,Nogueira.Lívia@uol.com.br,Mariane Rocha,+55 (061) 3726 5740,21925.0,22993.0,Y,97035b6f-4230-4db6-925a-cd2bebda6821,Y,beceb8b7-3b78-4b66-9386-a0eb1f6c05c8,Suspension problems,,,N,
000069,000023,119.0,9999999999,Name,9999999988,Name,Non-Warranty,Pending,2024-01-03,2024-06-23,GGU-3G36,Ana Sophia Peixoto,Peixoto.Ana Sophia@uol.com.br,José Pedro Novaes,(031) 4432-0246,47866.0,96460.0,N,,N,,Suspension problems,,,N,
000070,000012,30.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-07-01,2024-07-15,KIG-2B59,Marcos Vinicius Novais,Novais.Marcos Vinicius@@gmail.com,Paulo Cavalcante,31 0720 6915,42399.0,21946.0,Y,9c85e12e-dd92-4e4d-9fad-50a7587d1b5a,N,,Suspension problems,,,Y,f3fb2502-125b-47c7-866a-4cd3829aaeb0
000071,000021,69.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-04-24,2024-06-24,DXR-1T68,Caio Câmara,Câmara.Caio@uol.com.br,Bella Mendonça,+55 (051) 2851-2583,46916.0,8415.0,N,,Y,6901d7db-2cc1-473f-812b-26828ea9cd5d,Charging issues,,,N,
000072,000040,73.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-06-16,2024-06-30,LDJ-5X32,Lívia Sousa,Sousa.Lívia@@gmail.com,Dante Ribeiro,+55 84 0469-3838,21577.0,47968.0,N,,N,,Software glitches,,,N,
000073,000016,44.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-02-16,2024-06-06,GSV-9Q34,Natália Jesus,Jesus.Natália@@gmail.com,Miguel Fonseca,+55 (071) 2403-5921,9806.0,37667.0,N,,N,,Suspension problems,,,Y,88b8a0af-bf77-47f2-8440-19960690fcc3
000074,000037,73.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-03-26,2024-05-31,FRL-1X95,João Gabriel Novaes,Novaes.João Gabriel@uol.com.br,Luiz Gustavo da Costa,71 6901-3997,30523.0,84864.0,Y,ad06ec3a-17c6-4233-bf8f-c9a54b2e24a2,N,,Suspension problems,,,Y,3009a9b5-a24c-4db8-b687-ff2c00b9cfd0
000075,000045,35.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-02-04,2024-07-20,OMM-8K25,Valentina Andrade,Andrade.Valentina@@yahoo.com.br,Arthur Miguel Aparecida,(031) 2930-9477,47385.0,20319.0,N,,N,,Inverter problems,,,N,
000076,000019,83.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-03-26,2024-05-23,QOK-3X03,Matteo da Paz,da Paz.Matteo@@outlook.com,Dr. Bento Caldeira,+55 51 2443 6486,13824.0,76145.0,N,,Y,399a0fa6-d336-4f8d-bb5d-e54b4ff7b97f,Battery overheating,,,N,
